user_id,user_name,role,skills,years_of_experience,bio,area_of_interest
601,Barbara Martinez,Cloud Engineer,"Networking, Google Cloud, AWS",0,"Creative Cloud Engineer who leverages Networking, Google Cloud, AWS to produce effective results.",NLP
602,Eric Fox,Cloud Engineer,"CI/CD, Cloud Security, Networking",0,"Cloud Engineer with solid background in CI/CD, Cloud Security, Networking and extensive experience in Cloud Computing.",Cloud Computing
603,Larry Sanchez,Cloud Engineer,"Linux, Cloud Security, CI/CD",0,"Highly skilled Cloud Engineer committed to excellence in Linux, Cloud Security, CI/CD.",NLP
604,Angela Tucker,Cloud Engineer,"Networking, Terraform, Kubernetes",0,"Dedicated professional with strong expertise in Networking, Terraform, Kubernetes and a passion for Machine Learning.",Machine Learning
605,Regina Price,Cloud Engineer,"Networking, Docker, Terraform",0,"Goal-oriented Cloud Engineer with expertise in Networking, Docker, Terraform.",Cloud Computing
606,Kevin Marshall,Cloud Engineer,"Azure, AWS, Kubernetes",0,Experienced Cloud Engineer with a proven track record in delivering high-quality solutions.,Machine Learning
607,Tina Orozco,Cloud Engineer,"AWS, Linux, Terraform",0,"Dedicated professional with strong expertise in AWS, Linux, Terraform and a passion for Machine Learning.",Machine Learning
608,Benjamin Rivera,Cloud Engineer,"Kubernetes, Networking, Cloud Security",0,"Cloud Engineer with solid background in Kubernetes, Networking, Cloud Security and extensive experience in Cloud Computing.",Cloud Computing
609,Hannah Jenkins,Cloud Engineer,"Linux, AWS, Google Cloud",0,"Goal-oriented Cloud Engineer with expertise in Linux, AWS, Google Cloud.",Cloud Computing
610,Megan Baldwin,Cloud Engineer,"AWS, Linux, Docker",0,An enthusiastic Cloud Engineer passionate about learning and growing in the tech industry.,Embedded Systems
611,Jonathan Lang,Cloud Engineer,"Docker, Linux, Azure",0,"Creative Cloud Engineer who leverages Docker, Linux, Azure to produce effective results.",Machine Learning
612,Tammie Smith,Cloud Engineer,"Terraform, CI/CD, Networking",0,Innovative Cloud Engineer focused on pushing the boundaries in Embedded Systems.,Embedded Systems
613,Kevin Bradshaw,Cloud Engineer,"Networking, Kubernetes, Docker",0,Experienced Cloud Engineer with a proven track record in delivering high-quality solutions.,Web Development
614,Dawn Johnson,Cloud Engineer,"Azure, Kubernetes, Cloud Security",0,"Creative Cloud Engineer who leverages Azure, Kubernetes, Cloud Security to produce effective results.",Web Development
615,Brittany Wu,Cloud Engineer,"Linux, Azure, AWS",0,An enthusiastic Cloud Engineer passionate about learning and growing in the tech industry.,Machine Learning
616,Jessica Ryan,Cloud Engineer,"CI/CD, Networking, Azure, Docker",2,"Goal-oriented Cloud Engineer with expertise in CI/CD, Networking, Azure, Docker.",Web Development
617,Nicholas Gonzalez,Cloud Engineer,"CI/CD, Linux, Kubernetes, Azure",2,Innovative Cloud Engineer focused on pushing the boundaries in Embedded Systems.,Embedded Systems
618,Jennifer Beck,Cloud Engineer,"CI/CD, Terraform, Cloud Security, Google Cloud",2,A self-motivated Cloud Engineer who enjoys problem-solving and innovation.,Machine Learning
619,Brian Mclean,Cloud Engineer,"AWS, Linux, Networking, Google Cloud",2,"Cloud Engineer with solid background in AWS, Linux, Networking, Google Cloud and extensive experience in NLP.",NLP
