user_id,user_name,role,skills,years_of_experience,bio,area_of_interest
526,Jamie Travis,Java Developer,"Multithreading, SQL, Hibernate",0,"Creative Java Developer who leverages Multithreading, SQL, Hibernate to produce effective results.",NLP
527,Katherine Patton,Java Developer,"Git, REST APIs, Multithreading",0,A self-motivated Java Developer who enjoys problem-solving and innovation.,Web Development
528,Frank Ward,Java Developer,"Hibernate, Git, Multithreading",0,"Goal-oriented Java Developer with expertise in Hibernate, Git, Multithreading.",Cloud Computing
529,Patricia Hooper,Java Developer,"REST APIs, Multithreading, Microservices",0,Innovative Java Developer focused on pushing the boundaries in Web Development.,Web Development
530,Gregory Walker,Java Developer,"JUnit, Hibernate, SQL",0,An enthusiastic Java Developer passionate about learning and growing in the tech industry.,Cloud Computing
531,Ashley Byrd,Java Developer,"Microservices, JUnit, Java",0,Innovative Java Developer focused on pushing the boundaries in Machine Learning.,Machine Learning
532,Mary Brady,Java Developer,"Git, SQL, Microservices",0,Experienced Java Developer with a proven track record in delivering high-quality solutions.,Web Development
533,Samantha Carr,Java Developer,"SQL, REST APIs, Maven",0,"Java Developer specialized in NLP, with a focus on creating impactful solutions.",NLP
534,Mary Page,Java Developer,"REST APIs, Maven, Java",0,"Java Developer specialized in NLP, with a focus on creating impactful solutions.",NLP
535,Crystal Garcia,Java Developer,"SQL, Multithreading, Maven",0,"Highly skilled Java Developer committed to excellence in SQL, Multithreading, Maven.",Web Development
536,Peter Mason,Java Developer,"Hibernate, Spring, Git",0,An enthusiastic Java Developer passionate about learning and growing in the tech industry.,Web Development
537,Elaine Larson,Java Developer,"Spring, JUnit, SQL",0,"Creative Java Developer who leverages Spring, JUnit, SQL to produce effective results.",NLP
538,James Johnson,Java Developer,"Maven, Hibernate, REST APIs",0,An enthusiastic Java Developer passionate about learning and growing in the tech industry.,NLP
539,Hannah Bush,Java Developer,"Multithreading, JUnit, Java",0,"Java Developer with solid background in Multithreading, JUnit, Java and extensive experience in Machine Learning.",Machine Learning
540,Brooke Williams,Java Developer,"Hibernate, Git, Multithreading",0,"Dedicated professional with strong expertise in Hibernate, Git, Multithreading and a passion for Embedded Systems.",Embedded Systems
541,Jason Flores,Java Developer,"Maven, Git, REST APIs, Multithreading",2,"Java Developer specialized in NLP, with a focus on creating impactful solutions.",NLP
542,Cameron Morton,Java Developer,"Git, SQL, Multithreading, Maven",2,"Creative Java Developer who leverages Git, SQL, Multithreading, Maven to produce effective results.",Embedded Systems
543,Jessica Richardson,Java Developer,"Java, Git, Microservices, REST APIs",2,"Dedicated professional with strong expertise in Java, Git, Microservices, REST APIs and a passion for Machine Learning.",Machine Learning
